Player Name,Pos,Salary,Team,Proj FP,Actual FP
Nikola Jokic,C,11400,DEN,54.9,72.1
James Harden,SG,10400,HOU,49.7,33.4
Kevin Durant,SF,10100,BKN,49.6,57.3
LeBron James,SF,9900,LAL,47.7,41.1
Anthony Davis,PF,9800,LAL,47.5,49.0
Stephen Curry,PG,9600,GSW,49.4,33.3
Domas Sabonis,PF,9200,IND,49.5,42.8
Shai Gilgeous-Alexander,SG,8500,OKC,41.7,31.8
Malcolm Brogdon,PG,8400,IND,44.7,35.4
Christian Wood,PF,8100,HOU,38.9,27.1
Rudy Gobert,C,8000,UTA,39.0,20.0
Caris LeVert,SG,7900,BKN,36.6,34.0
Donovan Mitchell,SG,7800,UTA,36.8,35.6
John Wall,PG,7600,HOU,35.1,23.5
Dejounte Murray,PG,7500,SAS,39.4,31.5
Myles Turner,C,7400,IND,35.2,56.4
LaMarcus Aldridge,PF,7200,SAS,35.9,41.0
Mike Conley,PG,7100,UTA,30.5,31.7
Jamal Murray,PG,7000,DEN,32.3,26.0
Larry Nance Jr.,PF,7000,CLE,33.5,15.4
Jarrett Allen,C,6800,BKN,33.9,23.5
Andrew Wiggins,SG,6600,GSW,31.6,47.9
Keldon Johnson,SF,6600,SAS,32.9,33.9
Darius Bazley,PF,6400,OKC,29.1,24.2
Montrezl Harrell,C,5800,LAL,24.7,26.3
Will Barton,SF,5700,DEN,28.7,36.9
Draymond Green,PF,5700,GSW,28.2,29.2
Dennis Schroder,PG,5500,LAL,28.4,22.1
Al Horford,C,5500,OKC,28.0,22.9
Hamidou Diallo,SG,5500,OKC,22.3,23.8
Royce O'Neale,PF,5300,UTA,22.2,16.6
Kelly Oubre,SF,5300,GSW,26.3,31.0
Jordan Clarkson,SG,5200,UTA,28.6,38.6
Damyean Dotson,SG,5200,CLE,26.2,14.9
Lonnie Walker,SG,5200,SAS,24.4,32.6
Cedi Osman,SF,5100,CLE,29.6,31.8
Joe Harris,SF,4900,BKN,23.4,32.6
James Wiseman,C,4700,GSW,23.2,22.8
DeMarcus Cousins,C,4600,HOU,19.9,31.5
JaVale McGee,PF,4500,CLE,28.3,27.3
Bojan Bogdanovic,PF,4500,UTA,21.4,24.9
